"PG.ProteinAccessions","NT01","NT02","NT04","NT05","NT06","NT07","NT08","NT10","NT11","NT18","NT19","NT20","NT21","NT22","NT23","NT25","NT26","NT27","NT28","NT30","NT31","NT32","NT33","NT34","NT35","NT36","NT37","NT38","NT39","NT40","NT41","NT42","NT44","NT45","NT47","NT48","NT49"
"A0A075B6K0;P01717;P01718","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A075B6K5;P80748","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P62873","115727.4219","96122.234379999994","92137.65625","122379.13280000001","87957.820309999996","149125.57810000001","121061.86719999999","99238.015629999994","132795.4063","127893.5781","74339.78125","74395.132809999996","1001583.75","121441.2656","106901.2813","61726.09375","52553.089840000001","49622.230470000002","NaN","62470.035159999999","145151.25","79810.414059999996","48740.023439999997","37858.417970000002","NaN","63535.203130000002","62149.421880000002","260364.8125","244433.39060000001","83111.796879999994","74861.320309999996","52324.359380000002","168165.8125","122117.7813","46861.222659999999","40077.605470000002","64538.984380000002"
"P62875","238952.35939999999","150335.4688","339237.15629999997","255231.625","145810.5625","300976.9375","136081.8438","273025.28129999997","352996.84379999997","241388.625","155403.0313","293860.875","2659292","298885.25","145158.35939999999","146164.9688","207856.1563","237596.82810000001","148739.9063","79526.601559999996","356580","126575.0313","81336.914059999996","130775.83590000001","141829.4375","157662.5938","208717.2188","99505.023440000004","431098.5","115188.66409999999","245786.79689999999","128244.28909999999","568156.8125","238869.32810000001","108777.5156","216788.9688","182165.5313"
"P62879","109854.91409999999","94538.78125","150909.9063","154124.76560000001","73441.8125","153956.95310000001","116842.4688","139621.3125","160240.17189999999","157424.5625","112725.72659999999","142592.32810000001","1031351.75","155866.60939999999","116809.1875","NaN","NaN","65323.617189999997","145197.51560000001","NaN","142783.29689999999","114429.63280000001","147888.875","94153.851559999996","52069.261720000002","103456.1094","NaN","138366.89060000001","200680.0938","100498.875","153877.54689999999","68012.015629999994","164875.9688","299364.78129999997","NaN","NaN","45521.886720000002"
"P62888","604022.5625","674866.25","507926.78129999997","1096256.625","688391.3125","440548.25","622472.0625","530778.5625","1222966.375","348308.9375","439567.0625","711943.75","13417690","375298.90629999997","404541.40629999997","643123","456529.96879999997","494405.53129999997","640697.5625","467564.625","385826.5625","980023.0625","428059.09379999997","542686.75","604512.5","462496.125","818437.625","387578.96879999997","574199.875","481625.5625","419028.96879999997","483810.625","1173315.5","533215.375","563750.375","547907.0625","439831.5"
"P62891;Q59GN2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P62899","700500.9375","1394958","1189229","324033.5","1245469.5","719951.25","716653.6875","686484.5625","1087496.375","639582.0625","674777.75","359459","12075038","502748.5","882849.1875","1395693.625","746434.25","935157.5","219629.98439999999","863730.25","580333.0625","743279.0625","703350.6875","1090912.5","663563.375","873127.125","723780.6875","681790.875","1009690.688","731875.8125","753942.1875","936136.125","1380107.125","746353.6875","447098","1350529.625","684368.875"
"P62906","1709915.25","2267566.5","2835179.75","1507767.875","2595168.75","1873383.125","1904908","1821968.375","2085437.125","1458548.375","1742147.5","1882111.5","24822200","1523763.625","1594074.625","2429813.5","1517942.75","1416333.25","1464764.25","1589901.5","1424785.625","1388419","1263255.75","2042153.5","1127090.25","1443556.75","1506774.75","1331997.5","2297384.25","1435072.75","1451223.375","1458277.25","2388175.5","2118699.75","1862181.5","2209645","1371262.5"
"P62910","412986.96879999997","1391066.5","739016.1875","721287.4375","1049054.5","446057.71879999997","730084.1875","593142.5625","422608.03129999997","510267.59379999997","645187.4375","804450.875","12025530","488176.03129999997","968877.25","1109968.875","546288.3125","624064","635366.6875","567416.6875","302987.9375","648547.9375","1032845.125","664863.8125","430111.3125","687613.25","402645.59379999997","525503.25","482190.53129999997","913066.375","472752.65629999997","717069.3125","797612.9375","392525.65629999997","722213.3125","954670.6875","412577.09379999997"
"P62913","1238894","1857693.125","1965919","1352081.25","1781868.125","1324310.25","1150497.125","1032139.5","2196711.5","1026565.5","1013672.25","1787029.375","110734200","879999.25","1170790.875","1967492.375","1238206.75","1195342.625","1280839.75","1364847.5","1996430.125","1065050.875","1111171.25","1433998.875","1220711.125","1084162.625","1484018.625","1453539.375","2504013.25","1115494.625","1174897.375","1100900.75","2268319.75","2096959.5","1280833.75","2151584.25","1462581.5"
"P62917","2813448.25","5458154.5","5021707.5","2560887.5","5426010","3297564.5","2878082.5","3314231.5","2706218.25","2761320.25","2653111.5","3033774.25","15058554","3174779.5","3268349.75","5091528.5","3473836.75","3799791.25","3124496","3451961.25","2935769.5","2913142.75","3612539","4409390.5","2643944.75","3600657.5","3184996.75","3189774.25","4606381.5","2582289.5","3675738.25","3507503","6184775","2764685","3150265.25","5478322","2841191.25"
"P62937","6756885.5","8627510","6480986","3452109.25","8724700","7149965","7509950","6649827.5","5337329","8172743.5","5528556.5","5378115","253239312","8509268","6641183.5","7246951","6556859","7309939","4958330","5436808","6256687.5","4639754","8918577","4266212","4947503","5979243","5858690","8987960","6189173.5","8553639","8508074","7223974.5","7876146","5060414.5","4595487","7713624","5910656.5"
"P62942","1056685.5","676426.8125","575607.8125","1112015.25","410345.40629999997","832675.25","698941.25","674668.125","1044621.75","919617.3125","647811.4375","770071.75","4544551.5","1204297","329384.375","490033.1875","598230.375","678930.75","1003634.25","471420.625","968284.625","247666.3125","458801.90629999997","431169.75","660338.625","418105","927398.5","577356.125","524069.1875","391795.625","737368.9375","551738.5625","1755431.75","748235.375","568068.75","611820.875","755713.6875"
"P62979","NaN","145495.1563","38139.324220000002","NaN","56955.019529999998","NaN","54401.402340000001","NaN","NaN","NaN","NaN","NaN","NaN","23125.115229999999","113221.11719999999","100850.8906","NaN","46782.84375","NaN","NaN","NaN","NaN","40912.746090000001","NaN","NaN","NaN","NaN","73783.546879999994","NaN","60983.730470000002","NaN","55908.785159999999","NaN","NaN","NaN","66413.726559999996","22753.751950000002"
"P62993","444103.78129999997","324365.75","361977.28129999997","428475.75","360850.8125","397092","361666.03129999997","508401.09379999997","421179.15629999997","654945.9375","541462.25","467282.0625","5142401","648673.5","470647.6875","333628.8125","425116.125","671040","369921.4375","383277.25","452046.21879999997","403394.09379999997","305662.59379999997","369565.3125","463002.71879999997","547449","441708.1875","517521.375","969787.375","285598.9375","664837.3125","701860.3125","735725.6875","359023.84379999997","463129.125","409864.75","467647.65629999997"
"P62995","594610.125","276495.625","372906.84379999997","411262.40629999997","275533.15629999997","393436.875","325800.125","578128.8125","391331.78129999997","382384.3125","475328.03129999997","368714.25","5050235.5","460930.625","277526.59379999997","392122.5625","451044.8125","496872.46879999997","389551.6875","478976.6875","402217.6875","413201.375","294402.0625","492612.09379999997","588354.125","417463.59379999997","511636.875","397960.375","572791.8125","309485.5","402898.96879999997","419116.875","978649.5","649526.25","307612.71879999997","422507.75","404917.34379999997"
"P63000","1246182.375","905108.8125","902472.0625","935014.1875","948252.875","2529052","911825.8125","851095.625","1859202.75","1603592.875","993631.375","892949","67358304","564192.9375","708155.3125","354724.5","625092.5","434579.53129999997","655752","550840.5625","969772.5625","574803.8125","748707.75","566638","370676.125","370969.1875","459916.375","540989.0625","658988.8125","363811.90629999997","589005.375","415154.875","1463326.125","1029742.75","436071.59379999997","1277920.625","715090.75"
"P63010","195060.5625","190081.5625","230497.0313","284881.75","202332.45310000001","245704.9063","159317.32810000001","200951.1563","281429.40629999997","170658.3125","220042.32810000001","224788.92189999999","2833067.75","208540.5938","149409.7188","156770.25","130246.6719","149517.26560000001","150993.14060000001","102478.8438","187120.6875","139835.60939999999","154352.3438","137449.2813","153551.875","153389.35939999999","189529.875","80999.78125","261159.54689999999","158541.39060000001","240592.51560000001","139663.82810000001","345000.21879999997","206533.32810000001","219706.6563","166866.42189999999","169236.39060000001"
"P63027","112871.10159999999","135013.67189999999","111730.55469999999","NaN","96608.078129999994","111759.30469999999","81276.835940000004","91564.539059999996","NaN","128509.86719999999","79621.015629999994","NaN","1958025.875","112337.4531","85834.40625","78385.835940000004","89736.15625","76669.101559999996","NaN","105134.46090000001","106453.66409999999","77426.78125","99082.914059999996","111455.6563","89788.773440000004","81856.101559999996","NaN","104114.38280000001","153253.98439999999","109793.83590000001","110463.19530000001","NaN","153423.04689999999","143486.32810000001","NaN","102097.63280000001","92278.25"
"P63092;Q5JWF2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P63096","NaN","91858.5625","NaN","NaN","80560.648440000004","1903046.5","872183.6875","116109.7813","NaN","103510.89840000001","1202416.5","NaN","NaN","NaN","49076.96875","108528.86719999999","214305.64060000001","NaN","NaN","104005.9375","192852.23439999999","62169.964840000001","NaN","952095.125","NaN","60186.617189999997","50686.722659999999","NaN","273951.28129999997","NaN","743084.875","995214.4375","452234.125","NaN","NaN","118208.9688","160229.60939999999"
"P63098","149892.6875","70900.171879999994","107613.8125","87551.96875","114219.7813","193828.7188","120087.24219999999","130047.3438","216739.2813","113507.71090000001","85856.859379999994","91675.671879999994","1472306.375","112499.1875","96746.53125","63682.917970000002","98496.8125","80477.1875","NaN","63884.394529999998","75074.609379999994","82847.695309999996","42641.15625","46494.757810000003","156931.07810000001","60655.070310000003","62392.425779999998","79824.859379999994","55937.945310000003","NaN","101154.8125","76650.078129999994","186937.2188","121007.71090000001","68448.882809999996","82641.0625","158199.2813"
"P63104","1981215.75","1757390","1622841.25","1894210.5","1688859","2368819.75","1525479.375","2067213.375","1762596.25","2882059.5","2020585.75","1727336","17626644","2014535.25","1482010.75","1996868.625","2163251","2819451.25","1979508.75","2064756","2807233.25","2277149.75","1253237.75","1300766.625","2685120.5","2113861.75","4414362","2864704.5","3491751.25","1368477.25","3499307.75","2485019.5","3541294.25","2779445.5","2555313.5","1978431","2605189.75"
"P63151","103994.99219999999","157040.9375","70250.375","115768.03909999999","161187.6875","127669.7813","97431.757809999996","89534.195309999996","103213.82030000001","85761.328129999994","100678.7969","93043.171879999994","NaN","80942.757809999996","105039.0469","206615.2813","100484.8906","68668.382809999996","254553.0313","113719.80469999999","156681.7813","107896.0156","153135.64060000001","74520.65625","91649.023440000004","139256.8125","118339.1875","136044.3438","192922.8438","129101.14840000001","61271.65625","79854.867190000004","222726.8125","116701.52340000001","158919.20310000001","177830.1875","125959.50780000001"
"P63165","684512.125","601668.5","832300.1875","471328.375","481664.40629999997","764788.3125","525157.0625","598654.0625","265936.8125","672254.3125","698163.25","518135.21879999997","NaN","668452.0625","493394.21879999997","603730.8125","731299.5625","674269.4375","796161.5","597672.5","658927.375","488253.15629999997","457000.59379999997","976298.875","693463.3125","562861.125","716416.0625","1180063.875","746329.0625","632327.9375","515562.4375","666376.0625","1277469.25","503454.90629999997","534587.625","656042.5625","730300.8125"
"P63167","284610.9375","537308.3125","283001.53129999997","291040.5","547408.5","236560.8438","236559.375","302841.5625","182340.2188","497183.75","337509.53129999997","239441.5625","1423036.875","238608.07810000001","377180.1875","461088.03129999997","386068.5","425583.90629999997","382632.6875","328174.25","482899.59379999997","691631.375","440734.25","615033.875","526021.3125","516960.125","555352.9375","404602.5625","524310.0625","450922.28129999997","261032.0625","370392.40629999997","980665.0625","422271.8125","641925.125","451457.34379999997","522780.40629999997"
"P63172","NaN","41333.265630000002","NaN","6742.5693359999996","40842.785159999999","NaN","NaN","NaN","NaN","6085.7133789999998","8882.40625","8287.5849610000005","NaN","5108.3476559999999","NaN","49661.199220000002","14155.896479999999","9682.28125","NaN","21745.166020000001","21385.29492","NaN","NaN","NaN","NaN","8307.2265630000002","4171.1577150000003","NaN","43187.011720000002","45484.960939999997","13057.335940000001","38617.246090000001","NaN","NaN","31356.582030000001","66397.828129999994","NaN"
"P63173","508642.75","1057796.875","871086","375992.875","973323.375","858712.9375","796788.0625","597843.5625","1736328.25","315972.1875","495411.34379999997","445214.75","13829726","504883.125","725091.9375","476317.1875","236229.0625","144428.4688","164880.85939999999","273010.96879999997","970765.6875","337888.84379999997","424315.375","335791.25","283584.1875","327032.4375","234652.2813","171034.375","849503.25","283196.4375","558926.1875","291426.59379999997","320404.8125","1276487","229852.25","249548.60939999999","233698.29689999999"
"P63208","658831.75","470136.125","556279.25","536364.375","515733.75","539842.6875","499498.46879999997","577414.625","458225.25","561705.875","362219.65629999997","528810.1875","6190201.5","391926.65629999997","496544.40629999997","341868.4375","500103.5625","664424.125","430112.96879999997","423103.625","810603.1875","434468.6875","252777.5313","378433.8125","474074.59379999997","434105.90629999997","558382.9375","415472","1014142.188","381794.125","609553.1875","420247.34379999997","1157150.25","872516","452842.3125","558742.375","488138.09379999997"
"P63218","831300.25","1157356","133830.625","1587083.75","1346601.125","216120.0313","105726.2813","176043.67189999999","3349031.5","123947.28909999999","1655155","939763.125","38952260","156209.3438","2284222","886183.5625","NaN","72758.9375","1108894.5","NaN","96533.21875","78283.257809999996","1338283.5","69194.320309999996","349756.9375","78866.484379999994","82563.132809999996","485428.4375","90087.6875","386225.8125","167954.60939999999","1206273.5","229306.98439999999","52248.023439999997","628679.25","1015565.5","109216.9219"
"P63220","558460.375","861294.625","869346.9375","398958.0625","829721.25","601800.25","634276.375","539050.0625","673517.8125","464140.65629999997","492309.90629999997","734416.125","4653353","429777.1875","658485.3125","810384.5","540897.625","555943.125","284333.21879999997","448371.875","578817.0625","466083.09379999997","366597.8125","702223.3125","383866.53129999997","449030.125","471383.21879999997","466330.90629999997","903800.4375","517921.59379999997","490722.5625","551559.375","870941.375","607211.1875","566859.5625","754475.9375","419905.625"
"P63241","96975.867190000004","255510.8125","73419.859379999994","236116.57810000001","318405.78129999997","134914.98439999999","37862.316409999999","42462.488279999998","55225.835939999997","329648.5625","70556.367190000004","96268.820309999996","942328.1875","59406.46875","73255.148440000004","602483.875","343831.34379999997","215524.51560000001","401542.875","399330.5625","795350.0625","270908.71879999997","475147.65629999997","449443.3125","296225.6875","729546.25","517074.75","318711.125","564757.75","532305.5625","471554.90629999997","221291.4375","943383","1079243.75","675277","559869","211723"
"P63244","1842819.25","2498610.25","2423477.25","1462083.125","2914548.75","871513.75","1199876","1936578.75","1603656.375","1292518.125","1585902.5","1402629.875","22752556","1038402.313","1545496.5","1930634.125","1409230.75","1765765","997171.1875","995338.1875","983469.1875","1238999.75","1540034.5","1403024.625","1034038.375","1530230","1798466.375","639118.125","1035018.938","895807.0625","1334862.5","1380177.25","2135731.5","1044085","1464836.25","1927385.375","1405127"
"P63252","NaN","16403.259770000001","NaN","NaN","19003.935549999998","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","20721.103520000001","NaN"
"P63261","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P63272","31297.070309999999","44842.746090000001","18078.136719999999","21933.162110000001","36357.171880000002","15765.049800000001","11937.54883","13202.962890000001","NaN","62233.992189999997","43443.660159999999","17298.88867","NaN","27059.884770000001","54408.140630000002","58316.210939999997","47590.464840000001","74663.101559999996","26313.462889999999","60092.371090000001","41041.101560000003","76339.5625","95777.539059999996","56300.648439999997","79989.695309999996","49601.609380000002","42661.734380000002","84882.367190000004","57285.835939999997","80725.617190000004","35413.699220000002","49864.300779999998","155361.625","NaN","31531.818360000001","59286.921880000002","89198.921879999994"
"P63279","1470006.5","636606.4375","852447","693611.625","701791.5","1106448.875","983925.9375","1645897.5","1151133.875","2186117","1013991.813","805974.9375","4681929","1344172.875","886732.625","568966.6875","980721.6875","912503.1875","767185.5","661064.6875","984982.8125","1202899.5","515726.03129999997","603490.5","688830.8125","969819.9375","1142462.625","880587.375","1326712.5","446064.9375","772197.125","735901.0625","1273171.75","1009103.438","718133","755109.9375","1387457"
"P63313","62201.441409999999","110963.89840000001","33229.894529999998","116005.8281","176346.48439999999","65726.132809999996","37620.367189999997","68834.679690000004","NaN","219949.9688","54927.074220000002","105727.7813","NaN","75093.476559999996","45167.742189999997","349858.0625","239037.6875","207932.54689999999","111015.3594","163116.4688","403707.8125","84699.890629999994","45174.316409999999","187084.4375","99388.539059999996","286103.34379999997","179254.89060000001","138803.0938","356166.6875","96759.34375","181321.54689999999","224719.14060000001","472858.96879999997","412330.6875","221063.4688","281671.25","208679.54689999999"
"P67775","NaN","70042.765629999994","11455.168949999999","NaN","75222.90625","93281.703129999994","118881.8906","90659.085940000004","NaN","122229.2813","70255.234379999994","5277.7329099999997","NaN","NaN","NaN","78460.789059999996","61707.65625","82045.335940000004","94840.742190000004","125859.57030000001","98135.453129999994","5738.4858400000003","117956.92969999999","96774.929690000004","112832.41409999999","76415.039059999996","112967.125","254615.76560000001","105249.50780000001","110399.58590000001","82835.023440000004","66708.703129999994","175384.1875","312808.59379999997","17069.158200000002","163989.5625","78833.890629999994"
"P67809","993042.875","1124213.75","1429690.25","352901.21879999997","1218951.875","563295","969897.875","752119.1875","955153.625","640973.5","599845.5625","405972.21879999997","3779930.5","470332.96879999997","672065.0625","1130624.5","493852.25","1141752","575361.875","459000.3125","636792.1875","397681.90629999997","529034.75","1011994.25","564191.5","696791.25","607068.375","1705743.625","879984.0625","930981.9375","365035.125","596014.625","1127865.625","1762625.375","542304.125","1346198.25","887672.375"
"P67812","189860.6563","120312.1719","224672.39060000001","586529.0625","131258.125","265680.25","297468.65629999997","366889.21879999997","186448.60939999999","206276.14060000001","343134","627404.625","NaN","390455.09379999997","187643.3125","102037.5938","173943.89060000001","144341.5313","550430.3125","190047.4688","140166.75","336751.75","273538.3125","250448.5","274476.96879999997","197864.01560000001","310531.25","79900.351559999996","302444.09379999997","176545.76560000001","164646.5313","208289.14060000001","769770.3125","330484.71879999997","563563.1875","75426.742190000004","260143.9688"
"P67870","82664.0625","179219.14060000001","86730.609379999994","237410.125","200466.48439999999","135922.25","153041.10939999999","117971.6875","38201.835939999997","123562.38280000001","185166.8438","229558.9688","NaN","185760.5938","154071.98439999999","127587.0313","109720.69530000001","156079.95310000001","168102.9688","151433.73439999999","137485.42189999999","69015.203129999994","230867.42189999999","203741.9063","196571.26560000001","170495.07810000001","162764.73439999999","140403.3438","163249","222974.35939999999","139694.14060000001","114495.5","448649.5625","66048.15625","182671.5938","148476.79689999999","126968.8125"
"P67936","387361.09379999997","286365.125","740445.0625","478247.625","301545.09379999997","606570.125","1020301.625","644005.5","1282318.25","700927.9375","555290.8125","514143.40629999997","8319217.5","501326.40629999997","868176","293708.25","1174144.75","417808.5625","1160148.75","892272.5","427469.5","725380.5625","608304.6875","971367.375","649046","787117.1875","659924.25","201117.7813","1478276.875","942105.3125","442590.40629999997","459663.625","2045738.5","1049450.125","1402984.625","303773.21879999997","741369.8125"
"P68036","432512.65629999997","392119.25","313641.125","442671.0625","375733.34379999997","443503.71879999997","389949.375","392047.4375","402747.65629999997","445435.78129999997","448640.96879999997","511877.90629999997","5978088","464023","424300.71879999997","515087","434152.0625","483674.65629999997","357378.9375","469933.375","609153.75","430864.3125","324524.78129999997","338854.21879999997","395462.78129999997","462386.75","453725.875","838693.875","587397.6875","388283.90629999997","429621.9375","487572.53129999997","826246.375","487492.65629999997","317102","504861.71879999997","417619.375"
"P68104","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P68366","306761.75","30846.238280000001","51057.664060000003","1268302.875","NaN","334276.09379999997","386420.875","410943.59379999997","825460","372535.625","160498.875","1209647","44872768","151322.3438","175119.23439999999","3123.8718260000001","769133.0625","364697.125","943447.0625","287635.03129999997","639962.4375","293380.5","153801.85939999999","70552.0625","163461.35939999999","247862.5938","348969.78129999997","40054.839840000001","327183.0625","148138.20310000001","546783.375","394556.6875","59381.640630000002","272209.5","966916.9375","NaN","149891.9688"
"P68371","3210817","3266930.25","1761401.625","1735723.375","3438192.25","2008769.125","1966656.625","2508552","2081345","3157176.75","2475005.25","1158906.625","25875084","3039742","2736455.25","4111617.75","2358985","3321215.5","1234888.125","2016872.375","7505006.5","2371970.25","1616253","1477520","1934985.375","2695574.25","1792191.375","3038103.5","4035421.25","911201.8125","2400982.5","2919872.25","8500126","2082645.5","1578617","4420104","2247578.5"
"P68400","907480.0625","74806.453129999994","213391.76560000001","NaN","80262.546879999994","156548.64060000001","120281.625","158990.17189999999","253930.51560000001","NaN","116964.875","NaN","NaN","129934.0625","96733.945309999996","64540.238279999998","55037.746090000001","58554.351560000003","NaN","63106.660159999999","45334.191409999999","98728.070309999996","64253.828130000002","112127.5","263146.0625","99348.976559999996","287595.6875","92970.085940000004","77185.515629999994","80777.507809999996","NaN","65691.335940000004","66965.171879999994","73333.6875","NaN","65178.960939999997","88293.273440000004"
"P68402","50067.601560000003","178595.51560000001","43425.722659999999","234625.98439999999","159880.3125","37362.144529999998","158175.2188","125208.44530000001","33214.441409999999","103532.14840000001","190825.04689999999","154458.64060000001","NaN","219946.26560000001","185810","167491.0625","62526.703130000002","70821.03125","532566.1875","142949.25","35682.597659999999","215012.95310000001","213058.60939999999","88173.914059999996","172180.6875","150625.95310000001","154175.8125","222028.89060000001","23970.962889999999","98698.023440000004","32105.041020000001","196819.0938","494175.59379999997","32985.21875","170370.01560000001","55789.140630000002","67865.601559999996"
"P68431","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P68431;Q16695;Q71DI3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P68543","NaN","5177.0087890000004","NaN","NaN","6617.1782229999999","5852.6313479999999","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6206.1689450000003","4007.4577640000002","3251.0104980000001","NaN","NaN","NaN","NaN","NaN","1724.8404539999999","NaN","NaN","NaN","NaN","7814.9541019999997","NaN","2510.9228520000001","NaN","NaN","3288.411865","NaN","10121.458979999999","2358.2607419999999"
"P68871","490890.46879999997","NaN","NaN","99986200","NaN","NaN","2621872.25","NaN","NaN","568012.1875","NaN","16220735","1983119872","471416.25","NaN","82862.28125","2714815.5","NaN","12627325","1643572.5","NaN","NaN","NaN","NaN","7688747","NaN","2361969.5","NaN","106799.2031","NaN","715732.875","NaN","NaN","NaN","6133428.5","NaN","2119783.25"
"P69849;Q5JPE7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P69891","NaN","NaN","NaN","1332017","NaN","NaN","NaN","NaN","NaN","NaN","NaN","197214.57810000001","134519248","NaN","NaN","NaN","674864.6875","NaN","683781.75","328369.125","NaN","NaN","NaN","NaN","204150.5938","NaN","64688.570310000003","NaN","NaN","NaN","NaN","NaN","NaN","NaN","256826.89060000001","NaN","NaN"
"P69892","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","262048976","NaN","NaN","NaN","767268.25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P69905","640699.75","103864.6719","124365.2969","59351208","207761.125","107042","1472009.75","560268.875","418480.46879999997","315231.5625","144340.0938","10086307","2107900544","689304.25","96068.578129999994","76988.882809999996","2509535.5","157205.79689999999","9228392","1725900.75","298464.40629999997","278790.0625","749083.375","81842.289059999996","9586572","163274.20310000001","2197129.25","324337.3125","480992.34379999997","1402395.375","504749.15629999997","212748.20310000001","432035.65629999997","385436.8125","5480993.5","407265.71879999997","1521436.875"
"P78316","46795.257810000003","108634.3125","176965.35939999999","16810.226559999999","81563.40625","41068.363279999998","99322.6875","69581.8125","78311.46875","64267.085939999997","61269.972659999999","86979.671879999994","206664.5625","35343.777340000001","83484.023440000004","105464.9219","90709.734379999994","116003.28909999999","83292.53125","110430.5469","68446.109379999994","65073.59375","50905.039060000003","201927.14060000001","49025.210939999997","82261.492190000004","68465.84375","96992.585940000004","137954","64401.675779999998","91978.835940000004","102460.78909999999","249899.75","99497.71875","45502.46875","132081.76560000001","65829.75"
"P78318","106701.16409999999","103545.6406","126227.7188","56247.457029999998","120444.72659999999","214237.8125","87548.703129999994","101443.0781","198887.4375","115832.97659999999","115782.05469999999","83227","NaN","137241.375","81719.007809999996","112826.44530000001","178693.67189999999","95857.125","74569.34375","83070.273440000004","137429.32810000001","87313.859379999994","98488.945309999996","86562.953129999994","90572.414059999996","90587.320309999996","124873.86719999999","84703.585940000004","213722.9063","106082.9219","130077.08590000001","96551.898440000004","211380.64060000001","139940.1563","83623.875","134531.10939999999","169792.5938"
"P78324","NaN","NaN","NaN","95696.390629999994","NaN","NaN","NaN","7855.9560549999997","NaN","NaN","NaN","88558.257809999996","254280.42189999999","NaN","NaN","NaN","8460.2392579999996","NaN","58120.214840000001","11770.887699999999","8510.015625","NaN","NaN","NaN","NaN","NaN","NaN","NaN","16135.132809999999","NaN","NaN","NaN","NaN","NaN","34115.910159999999","NaN","NaN"
"P78329;Q08477","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P78330","1002089.313","885275.875","46907.484380000002","51864.335939999997","1076992.375","72127.679690000004","315925.625","48850.472659999999","75591.757809999996","474964.59379999997","1389624.625","NaN","NaN","45150.296880000002","163121.625","748028.5","388826.34379999997","101134.9531","NaN","266654.625","76503.3125","716286","902958.3125","36305.007810000003","168556.2188","356869.65629999997","85875.414059999996","1249228.375","1384806.625","879968.5","469232.1875","817143.3125","94073.648440000004","1362861.625","40940.507810000003","870648.625","521701.15629999997"
