"PG.ProteinAccessions","NT01","NT02","NT04","NT05","NT06","NT07","NT08","NT10","NT11","NT18","NT19","NT20","NT21","NT22","NT23","NT25","NT26","NT27","NT28","NT30","NT31","NT32","NT33","NT34","NT35","NT36","NT37","NT38","NT39","NT40","NT41","NT42","NT44","NT45","NT47","NT48","NT49"
"A0A075B6K0;P01717;P01718","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A075B6K5;P80748","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P01031","113289.3594","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","67532.40625","NaN","NaN","NaN","161834.4688","NaN","101202.3281","NaN","90933.890629999994","NaN","NaN","164245.51560000001","NaN","NaN","NaN","NaN","NaN","NaN","71966.273440000004"
"P01033","NaN","NaN","NaN","174921.67189999999","NaN","NaN","NaN","NaN","NaN","NaN","57638.527340000001","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58912.203130000002","NaN","NaN","NaN","133007.0938","NaN","NaN"
"P01034","23974.265630000002","NaN","NaN","43881.691409999999","NaN","NaN","NaN","NaN","NaN","18134.29883","NaN","83671.515629999994","NaN","NaN","NaN","NaN","NaN","NaN","NaN","14512.73828","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","15088.8457","NaN","NaN","NaN","36698.722659999999","NaN","NaN"
"P01040","NaN","NaN","NaN","937217.375","NaN","NaN","91199.15625","NaN","NaN","NaN","NaN","893769.1875","13030149","NaN","NaN","NaN","NaN","NaN","470507.21879999997","43827.90625","NaN","NaN","NaN","NaN","50359.875","NaN","NaN","67454.1875","NaN","NaN","30135.097659999999","NaN","NaN","NaN","489719.125","NaN","NaN"
"P01111","108007.32030000001","93151.96875","90137.015629999994","178978.07810000001","102846.8438","140437.3125","95727.554690000004","135490.125","24707.449219999999","159736.75","112088.44530000001","177635.9375","NaN","134792.9375","73828.601559999996","103102.88280000001","133703.98439999999","79019.28125","201765.5938","87794.445309999996","100225.4688","93702.023440000004","196939.17189999999","83391.5","88482.5625","107289.41409999999","128192.5625","140401.1563","72961.296879999994","176574.3438","86488.273440000004","73128.140629999994","237807.5","25856.835940000001","126105.49219999999","101224.6094","102771.8906"
"P01116","77932.875","100627.16409999999","108878.42969999999","125173.4688","109721.49219999999","226762","117249.52340000001","146126.95310000001","188679.6875","83203.773440000004","126786.30469999999","138553.23439999999","NaN","117652.7031","80166.554690000004","92791.875","67258.921879999994","62787.46875","76584.359379999994","NaN","85887.78125","57988.753909999999","90012.5","89049.28125","63810.84375","57038.6875","62870.335939999997","88153.390629999994","141204.625","84048.65625","95996.992190000004","73648.359379999994","88696.1875","160936.82810000001","NaN","112014.8125","80182.28125"
"P01137","NaN","NaN","NaN","227340.42189999999","NaN","NaN","92547.726559999996","NaN","NaN","NaN","NaN","145788.3438","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87803.40625","NaN","NaN","NaN","157640.0625","NaN","NaN"
"P01591","NaN","439373.5625","NaN","NaN","514740.53129999997","92550.710940000004","1185034.125","NaN","992818.8125","163011.35939999999","NaN","NaN","5727062.5","NaN","1271212.75","398787.0625","494457.46879999997","61179.585939999997","NaN","1184800.75","73278.757809999996","NaN","NaN","NaN","77118.132809999996","977333.6875","NaN","NaN","2683604","NaN","860862.4375","54213.929689999997","NaN","NaN","126334.78909999999","424801.375","NaN"
"P01730","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P01732","NaN","NaN","NaN","31632.845700000002","NaN","NaN","NaN","NaN","NaN","NaN","NaN","29978.195309999999","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","21920.972659999999","38590.511720000002","NaN","13876.382809999999","NaN","NaN","NaN","21602.199219999999","NaN","NaN","NaN","42619.578130000002","NaN","NaN"
"P01834","NaN","NaN","NaN","345423.21879999997","NaN","NaN","NaN","NaN","NaN","NaN","NaN","637774.125","13775759","NaN","NaN","NaN","74024.539059999996","NaN","925202.9375","231661.5938","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","293615.625","NaN","NaN","NaN","309047.28129999997","NaN","NaN"
"P01848","NaN","NaN","176389.0625","NaN","NaN","58414.007810000003","NaN","NaN","NaN","NaN","NaN","NaN","1053831.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","288823.28129999997","138875.45310000001","NaN","173494.3438","NaN","41049.269529999998","NaN","NaN","NaN","NaN","136983.32810000001","30330.214840000001","NaN","15503.00684"
"P01857;P0DOX5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P01871","213345.6563","184031.7188","NaN","NaN","178993.39060000001","115546.6875","NaN","NaN","NaN","36737.257810000003","NaN","119623.97659999999","NaN","NaN","NaN","149011.4375","188214.04689999999","NaN","376841.5625","69608.664059999996","81222.335940000004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","901209.375","NaN","122087.50780000001","135051.5313","97620.59375"
